"IJH.AX","ISCMIDCAP CDI 1:1",232.14,-1.15,N/A
"MOQ.AX","MOQLIMITED FPO",0.30,+0.00,N/A
"1PG.AX","1 PAGE FPO",N/A,+0.000,N/A
"ONT.AX","SMILES LTD FPO",7.10,+0.12,N/A
"1ST.AX","1ST GROUP FPO",0.04,+0.00,N/A
"T3D.AX","333D FPO",0.008,+0.000,N/A
"TGP.AX","360 GROUP STAPLED",0.94,+0.00,N/A
"TOT.AX","360 TOTAL STAPLED",1.14,-0.00,N/A
"TDO.AX","3D OIL FPO",0.048,-0.003,N/A
"DDD.AX","3D RES FPO",0.005,-0.001,N/A
"3PL.AX","3PLEARNING FPO",1.02,-0.01,N/A
"4DS.AX","4DSMEMORY FPO",0.026,-0.001,N/A
"88E.AX","88 ENERGY FPO",0.047,+0.000,N/A
"8CO.AX","8COMMONLTD FPO",0.057,+0.000,N/A
"8IH.AX","8I HOLD CDI 1:1",0.50,+0.00,N/A
"8EC.AX","8IP EMERG FPO",0.90,+0.00,N/A
"9SP.AX","9SPOKES FPO NZ",0.14,-0.00,N/A
"NNW.AX","99 WUXIAN CDI 1:1",0.093,+0.002,N/A
"ACB.AX","ACAP RES FPO",0.06,+0.00,N/A
"AYI.AX","A1 INVEST FPO",0.001,+0.000,N/A
"ABP.AX","ABACUS STAPLED",3.38,-0.03,N/A
"ALR.AX","ABERDEEN FPO",1.160,-0.005,N/A
"ABL.AX","ABILENEOIL FPO",0.015,+0.000,N/A
"ABU.AX","ABM RES FPO",0.09,+0.00,N/A
"AEG.AX","AB EQ PERF FPO",1.06,-0.01,N/A
"ABT.AX","ABUNDANT FPO",0.37,+0.02,N/A
"AJC.AX","ACACIACOAL FPO",0.006,+0.000,N/A
"AKG.AX","ACADEMIES FPO",0.19,-0.00,N/A
"ACS.AX","ACCENT RES FPO",0.05,+0.00,N/A
"ACX.AX","ACONEX FPO",4.83,+0.00,N/A
"ACQ.AX","ACORN CAP FPO",0.945,+0.005,N/A
"ACR.AX","ACRUX FPO",0.26,+0.00,N/A
"ACW.AX","ACTINOGEN FPO",0.08,+0.00,N/A
"AIV.AX","ACTIVEX FPO",0.12,+0.00,N/A
"ACU.AX","ACU LTD FPO",N/A,+0.000,N/A
