"IJH","ISCMIDCAP CDI 1:1",231.97,"+1.45%"
"MOQ","MOQLIMITED FPO",0.335,"+0.000%"
"1PG","1 PAGE FPO",0.165,"+0.000%"
"ONT","SMILES LTD FPO",7.07,"-0.42%"
"1ST","1ST GROUP FPO",0.04,"+8.11%"
"T3D","333D FPO",0.01,"+0.00%"
"TGP","360 GROUP STAPLED",0.97,"-4.90%"
"TOT","360 TOTAL STAPLED",1.13,"+0.00%"
"TDO","3D OIL FPO",0.038,"+0.000%"
"DDD","3D RES FPO",0.004,"+0.000%"
"3PL","3PLEARNING FPO",0.96,"-1.03%"
"4DS","4DSMEMORY FPO",0.02,"+0.00%"
"88E","88 ENERGY FPO",0.046,"+0.000%"
"8CO","8COMMONLTD FPO",0.06,"+15.38%"
"8IH","8I HOLD CDI 1:1",0.50,"-0.99%"
"8EC","8IP EMERG FPO",0.99,"-0.50%"
"9SP","9SPOKES FPO NZ",0.14,"-3.45%"
"NNW","99 WUXIAN CDI 1:1",0.097,"+0.000%"
"ACB","ACAP RES FPO",0.059,"+0.000%"

